NERC_No_1,FIPS,state_fip,County,county_fip,NERC_NAME_,CO2_upstream ($/metric ton),CO2_upstream_low ($/metric ton),CO2_upstream_high ($/metric ton),CO2 ($/metric ton),CO2_low ($/metric ton),CO2_high ($/metric ton),CO2_downstream ($/metric ton),CO2_downstream_low ($/metric ton),CO2_downstream_high ($/metric ton),overnight,MEAN,can_build,final_overnight_cost,fixed,fixed_final,variable,heat_rate,sun_price,int_rate,years,crf,upstream_GHG (g/kW),ongoing_nonC_GHG (g/kWh),CO2_combustion_rate (g/kWh),downtream_GHG (g/kW),cap_fac,LCOE1,LCOE3,LCOE3_low_CO2,LCOE3_high_CO2,GHG_inten
14,1001,1,Autauga County,1,SRSE,43,14,65,60,19,85,75,27,105,7041,0.877079029877981,1,6175.513449370865,67.26,58.99233554959301,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.310830102,0.2622547957482887,0.3158906064629794,0.27994286254925504,0.34258307958017115,41.78450500301952
14,1003,1,Baldwin County,3,SRSE,43,14,65,60,19,85,75,27,105,7041,0.872961558401585,1,6146.52233270556,67.26,58.71539441809061,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.316210129,0.2565825543407921,0.30930835275868523,0.27397048298367777,0.3355477411665641,41.116114973053456
14,1005,1,Barbour County,5,SRSE,43,14,65,60,19,85,75,27,105,7041,0.873509474422621,1,6150.3802094096745,67.26,58.75224724966549,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.3170576964,0.25605726479341806,0.30864251613336946,0.27339883852302893,0.33481192775942004,41.01288530685252
14,1007,1,Bibb County,7,SRSE,43,14,65,60,19,85,75,27,105,7041,0.879777390509844,1,6194.512606579812,67.26,59.17382728569211,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.3064492083,0.2668222703404577,0.3212226960218478,0.2847625206872439,0.34829586218147707,42.34610293120495
14,1009,1,Blount County,9,SRSE,43,14,65,60,19,85,75,27,105,7041,0.880646447340647,1,6200.6316357254955,67.26,59.23228004813192,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.2947542545,0.2776829964148752,0.3342359142563885,0.2963331767642514,0.3623807816315945,43.927075303193185
14,1011,1,Bullock County,11,SRSE,43,14,65,60,19,85,75,27,105,7041,0.874424981219428,1,6156.826292765993,67.26,58.81382423681873,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.31674708,0.25657699741229534,0.30921366911263115,0.2739355304866403,0.3354086823477144,41.05065277036829
14,1013,1,Butler County,13,SRSE,43,14,65,60,19,85,75,27,105,7041,0.876094436103647,1,6168.580924605779,67.26,58.9261117723313,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.3107262045,0.2620479847218788,0.3157016794834836,0.27974194999797425,0.34240305686298694,41.797640560302554
14,1015,1,Calhoun County,15,SRSE,43,14,65,60,19,85,75,27,105,7041,0.875945743392496,1,6167.533979226564,67.26,58.91611070057928,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.2992669565,0.27203590058296206,0.32773830835438267,0.2904055676615122,0.3554597164980687,43.302388743202485
14,1017,1,Chambers County,17,SRSE,43,14,65,60,19,85,75,27,105,7041,0.872889704564038,1,6146.016409835392,67.26,58.7105615289772,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.31372885,0.2585905772865738,0.3117321972794434,0.2761156512428172,0.33817861849126046,41.42152952177674
14,1019,1,Cherokee County,19,SRSE,43,14,65,60,19,85,75,27,105,7041,0.875725976058415,1,6165.9865974273,67.26,58.901329149689,0,9716,0,0.1,30,0.1060792482526339,2970000,2.5,0,239000,0.2973535294,0.2737177217095333,0.3297776012174239,0.2922052892922058,0.35767699044815243,43.5649462333507
