"FIPS","can_build"
27077,0
53019,0
53065,0
53047,0
53051,0
16021,1
30053,0
30029,0
30035,1
30101,1
30051,1
30041,1
30091,1
38023,0
38013,1
38075,1
38009,1
38079,0
38095,0
38019,0
38067,1
27069,1
27135,0
30005,1
30071,1
30105,1
30019,0
53073,1
16017,0
38101,1
27071,0
53057,1
38105,1
38049,1
27137,0
30085,1
38061,1
27089,1
38071,0
38099,1
27007,0
38069,1
53007,0
30073,1
53009,0
38005,0
30015,1
53061,1
30089,0
27075,0
38063,0
38035,1
27119,0
27113,0
53017,0
38053,1
53031,0
30083,1
30099,1
30055,1
16079,0
53063,0
30047,0
27029,0
16055,0
30033,0
27125,0
53025,0
53043,0
30049,1
53035,0
27061,0
38083,1
38103,0
38055,1
38027,0
38025,1
30027,1
30021,1
53033,1
30013,1
38039,1
38091,0
38097,0
53045,1
30063,0
30069,0
30077,0
53037,0
38031,0
38057,0
53027,1
27107,0
27087,0
30061,0
27021,0
23003,0
30045,0
27057,0
16009,0
30109,1
38033,0
38007,0
38093,0
38043,0
38015,1
53053,1
38065,1
53001,0
53075,0
38003,1
38017,1
30079,1
27005,0
27027,0
53067,1
16057,0
30059,0
53077,0
27001,0
38089,0
38059,1
55007,1
16035,0
30017,1
30087,1
30039,0
27159,0
27035,0
53049,0
53041,1
30007,0
27017,0
30037,0
55031,0
30065,0
30107,0
53021,0
53005,0
38037,0
27111,0
53023,0
30025,0
16049,0
30081,0
55003,0
38047,0
38029,1
38045,0
38087,0
38041,0
38073,0
38077,1
27167,1
16069,0
53013,0
53071,0
55051,0
23025,0
23021,0
30043,0
30111,1
30103,1
16061,0
53003,0
38085,0
27115,0
23019,0
53059,0
53015,1
53069,1
27153,0
27097,0
38051,0
38021,0
38081,0
38011,0
38001,0
30023,0
27095,0
41007,0
30097,1
30031,0
30067,1
41009,1
30093,0
55129,0
55113,0
55013,0
27065,0
30011,0
30095,1
27051,0
27041,0
53011,1
53039,0
30003,1
27155,1
41059,0
41063,0
55099,0
46021,0
46063,0
46089,0
46105,0
46031,0
46013,0
30001,0
46091,0
46109,0
41049,0
41061,0
30057,0
27009,0
41021,1
30075,0
27145,0
41057,0
41067,0
27121,0
27149,0
27059,0
27025,0
41055,0
55095,0
41051,0
41027,0
41065,0
16059,0
23029,0
23007,0
55005,0
55107,0
30009,1
46129,0
46045,0
46037,0
27011,0
27141,0
46137,0
46041,0
41005,1
27171,0
41071,0
27003,0
27067,0
27151,0
55119,0
23017,0
46051,0
27093,0
33007,0
27163,0
55017,0
41047,1
27073,0
16003,0
46107,0
46049,0
27053,0
46115,0
55109,0
55033,0
46019,0
16085,0
46025,0
46029,0
27023,0
27123,0
41001,0
41053,1
41069,0
46093,0
41041,0
55019,0
50009,0
50013,0
50011,1
50019,0
36019,0
56029,1
56011,0
56003,1
56005,0
56033,1
36033,1
41023,0
27085,0
27019,0
46039,0
27037,0
27173,0
46119,0
46069,0
46059,0
27129,0
55093,0
16037,0
55035,0
16087,1
41031,0
27139,0
46057,0
50015,0
41043,1
46117,0
50005,0
23027,0
46055,0
16043,0
27143,0
50007,0
23011,0
27049,0
41003,1
27127,0
55141,0
55091,0
56039,0
46005,0
27083,0
27081,0
46081,0
55011,0
55121,0
55053,0
16033,0
41013,0
56019,1
46065,0
36031,0
27079,0
27131,0
46077,0
46011,0
46103,0
16045,0
27015,0
50023,0
23001,0
27103,0
27157,0
41045,1
23009,0
33009,0
41017,0
23013,0
16015,0
23015,0
50001,0
33003,0
41039,0
27013,0
55057,0
16023,0
46085,0
50017,0
27161,0
46017,0
46073,0
46101,0
27117,0
27039,0
46111,0
27101,0
27033,0
27147,0
27109,0
46097,0
46079,0
27169,0
56045,0
46075,0
23005,0
56043,1
55081,0
16075,1
36041,0
27165,0
36043,1
55063,0
16039,0
56017,1
16051,0
41025,0
23023,0
56013,1
46071,0
16013,0
16081,0
50027,0
41019,1
46003,0
46015,0
16065,0
16027,1
46095,0
16025,0
46033,0
50021,0
27043,0
46099,0
27133,0
27047,0
27105,0
27063,0
27091,0
27055,0
27099,0
27045,0
46035,0
46061,0
46087,0
23031,0
36115,0
16001,0
36113,0
46123,0
33001,0
55123,1
46113,0
16073,1
16019,0
16011,0
41035,0
41037,1
41011,0
33013,0
33019,0
33017,0
55103,1
56025,1
46053,0
56027,1
46023,0
46125,0
46083,0
19195,0
19131,0
19005,1
19189,0
19191,1
56009,1
19143,0
19059,0
19109,0
19089,0
19063,0
19119,0
46043,0
46067,0
46047,0
56035,1
55023,1
36091,0
46007,0
46121,0
50003,0
56023,1
36035,0
33015,0
19167,0
50025,0
19141,0
19033,0
19041,0
19081,0
19147,0
19067,0
19037,1
55049,1
55043,1
33011,0
16063,0
16047,0
16067,0
33005,0
46135,0
46009,0
16077,0
46127,0
46027,0
19065,1
19043,1
36057,1
16029,0
16005,0
31165,1
31045,0
31161,0
41029,0
31103,0
31015,0
31031,0
41015,0
36083,0
36093,0
19149,0
19035,0
19017,1
19023,1
19021,0
16083,0
19151,0
19091,0
19197,0
19069,0
36077,1
31089,1
25009,0
31107,1
31027,0
16053,0
36095,0
31017,1
55065,1
36001,0
31149,1
41033,1
31051,0
25003,0
25011,0
25017,0
25027,0
19061,1
16031,0
19187,0
19055,1
19019,1
19013,1
56015,1
56031,1
16007,1
19193,0
19093,0
19161,0
19025,0
19079,0
25015,0
19083,1
19075,1
31043,0
36025,1
17085,1
36021,0
16071,0
36039,0
25025,0
56007,1
31139,0
31013,0
31003,0
56001,1
16041,0
19097,1
31179,0
25013,0
19105,1
19011,1
19113,1
19171,1
31173,1
56037,1
25023,1
25021,0
19133,1
19047,0
19027,1
19073,0
19015,0
19127,1
19169,1
36111,0
31039,1
25005,0
31167,0
31119,0
31075,0
31115,1
31091,0
31071,1
31171,0
31183,1
31009,0
36027,0
25001,1
31021,1
9005,0
9003,0
19045,1
9013,0
9015,0
36105,0
44007,0
49005,0
6093,0
31069,1
49003,1
49033,1
31157,1
31123,1
42127,0
6015,0
32013,0
32007,0
6049,1
32031,1
19031,1
31011,0
19099,1
19153,1
19157,1
19085,1
19077,1
19165,0
19009,1
19095,1
19049,1
19103,1
17161,1
19163,1
44001,0
44003,0
31037,1
31053,1
31141,1
31005,1
31077,1
31117,0
31113,0
31041,1
31175,1
17197,0
39095,0
17093,1
18089,1
18127,0
39051,1
39055,0
9011,0
39171,1
31007,1
31177,0
9001,0
56021,1
42131,0
44009,0
9007,0
9009,0
42069,0
17099,1
36071,0
42047,0
39035,0
42121,1
42053,1
39123,1
42023,0
39173,1
42103,0
42081,0
19139,1
42113,0
17011,1
17073,1
56041,1
18113,1
18033,1
36079,0
31125,1
39093,0
19123,1
19155,1
19183,1
19125,1
19121,1
19181,1
19107,1
19029,1
19001,0
39143,1
39155,0
42085,0
18099,1
39069,1
42035,1
25007,1
17063,1
6023,0
31023,1
31155,1
39043,1
18085,1
18149,1
42031,1
31033,1
39039,1
49057,0
19115,1
42079,0
31143,1
31055,0
31163,1
31093,1
31111,1
31121,1
25019,0
31101,1
31105,1
42065,0
49029,0
6105,0
36119,0
34037,0
39153,0
39133,0
17131,1
36087,0
17155,1
42037,0
17091,1
18183,1
18073,1
39077,1
18003,0
39103,0
49043,0
42027,0
42033,0
42089,0
39147,1
39125,1
17175,1
18111,1
31049,1
34031,0
31153,1
6089,1
6035,1
42097,0
18049,1
42019,1
42005,0
18131,1
42093,0
39063,1
19129,1
39137,1
19137,1
19003,1
19039,1
19179,1
19101,1
19175,1
19087,1
31081,0
19117,1
19135,1
49011,0
17095,0
17123,1
42119,0
42025,0
39099,0
42073,1
34003,0
17105,1
34041,0
49045,0
34027,0
19057,1
17071,1
17187,1
31025,1
39005,1
18169,0
31159,0
31109,1
31019,1
31047,1
31185,0
31079,0
18069,1
17075,1
18103,0
17053,1
8081,1
8123,1
8057,0
31135,1
8075,1
8115,1
8107,0
8069,0
49009,0
39033,1
32015,0
32011,0
39139,1
39169,1
39161,0
39175,1
39151,1
17143,1
42095,0
32027,0
42107,0
18001,1
18179,1
17203,1
39029,0
36005,0
18017,1
18181,1
49035,0
39003,0
42063,0
19071,1
19145,1
19173,0
19159,1
36059,0
19051,1
19177,1
19053,1
19185,1
19007,1
42109,0
49047,1
42007,0
42087,0
49013,1
19111,1
39065,1
36081,0
31131,1
42077,0
34019,0
36103,0
17113,1
34035,0
18015,0
17179,1
42013,0
18007,1
8095,1
42061,0
36047,0
42021,0
34039,0
39107,1
39019,1
17057,1
39117,1
39101,1
31151,0
31001,0
31035,0
31059,0
42067,0
31085,1
31029,0
31063,1
31073,1
39011,1
31099,1
49051,0
31137,1
42011,0
42129,0
42003,0
18053,1
39075,1
42043,0
39157,1
17067,1
17109,0
42099,0
42017,0
29045,1
29199,0
29197,0
34023,0
39081,0
18009,1
29171,0
29005,1
18075,1
49049,0
29147,1
29129,0
18067,0
29081,0
18157,1
29227,0
39083,0
31127,1
42075,0
39091,1
31067,0
31097,1
8087,1
39159,1
17183,1
18171,1
39149,1
42125,0
8049,0
39031,1
6103,1
34025,0
6063,0
39041,1
42091,0
17125,1
18023,0
8125,0
8121,0
39067,0
34021,0
18159,0
17019,1
18095,0
18035,0
29075,0
29211,0
18045,1
39037,1
31169,0
31095,0
29001,0
31057,1
31061,1
31181,0
31129,0
31087,1
31083,1
31065,1
31145,1
17107,1
42009,0
42041,0
18135,1
42071,0
29103,0
42055,0
17147,1
17039,1
42111,0
17169,0
39089,1
39021,1
29087,1
31147,1
31133,0
29079,0
8013,0
29111,0
42029,0
18057,0
42133,0
18107,1
8103,1
39059,1
17001,1
39109,0
54069,0
18011,0
34005,0
18165,1
17129,0
39013,0
34029,0
42057,0
39119,1
6007,0
29061,0
39049,0
42051,0
29003,1
17017,0
32033,0
39097,0
17009,0
8045,0
18065,1
42001,0
42045,0
17115,1
29063,1
29121,0
39023,0
29115,0
54051,0
42059,0
18177,1
49023,0
32001,0
20137,1
20147,1
20153,1
20023,0
20039,1
20157,0
20043,1
6045,0
20183,1
20089,0
20201,1
8001,0
20131,0
20117,1
20013,1
34007,0
17167,1
29117,1
