"FIPS","can_build"
27077,1
53019,1
53065,1
53047,1
53051,1
16021,1
30053,0
30029,1
30035,1
30101,1
30051,1
30041,1
30091,1
38023,1
38013,1
38075,1
38009,1
38079,1
38095,1
38019,1
38067,1
27069,1
27135,1
30005,1
30071,1
30105,1
30019,1
53073,1
16017,1
38101,1
27071,1
53057,1
38105,1
38049,1
27137,1
53055,0
30085,1
38061,1
27089,1
38071,1
38099,1
27007,1
38069,1
53007,1
30073,1
53009,1
38005,1
30015,1
53061,1
53029,1
30089,1
27075,1
38063,1
38035,1
27119,1
27113,1
53017,1
38053,1
53031,1
30083,1
30099,1
30055,1
16079,0
53063,1
30047,0
27029,1
16055,1
30033,1
27125,1
53025,1
53043,1
30049,1
53035,1
27061,1
38083,1
38103,1
38055,1
38027,1
38025,1
30027,1
30021,1
53033,1
30013,1
38039,1
38091,1
38097,1
53045,1
30063,1
30069,1
30077,1
53037,1
38031,1
38057,1
53027,1
27107,1
27087,1
30061,0
27021,1
23003,1
30045,1
27057,1
16009,1
30109,1
38033,1
38007,1
38093,1
38043,1
38015,1
53053,1
38065,1
53001,1
53075,1
38003,1
38017,1
30079,1
27005,1
27027,1
53067,1
16057,1
30059,1
53077,1
27001,1
38089,1
38059,1
55007,1
16035,1
30017,1
30087,1
30039,1
27159,1
27035,1
53049,1
53041,1
30007,1
27017,1
30037,1
55031,1
30065,1
30107,1
53021,1
53005,1
38037,1
27111,1
53023,1
30025,1
16049,0
30081,1
55003,1
38047,1
38029,1
38045,1
38087,1
38041,1
38073,1
38077,1
27167,1
16069,1
53013,1
53071,1
55051,1
23025,1
23021,1
30043,1
30111,1
30103,1
16061,1
53003,1
38085,0
27115,1
23019,1
53059,0
53015,1
53069,1
27153,1
27097,1
38051,1
38021,1
38081,1
38011,1
38001,1
30023,1
27095,1
41007,1
30097,1
30031,1
30067,1
41009,1
30093,1
55129,1
55113,1
55013,1
27065,1
30011,1
30095,1
27051,1
27041,1
53011,1
53039,1
